DATE,PARTICULARS,DR,CR,TYPE
04-03-2017,UPI  PA,10000.0,0.0,UPI
04-03-2017,UPI  PA,10000.0,0.0,UPI
04-03-2017,POS  BPCL COCO  PUNE,1000.0,0.0,SWIPE
04-03-2017,BRN PYMT CARD,2536.08,0.0,CC
04-03-2017,UPI  PA,10050.0,0.0,UPI
04-03-2017,POS  BPCL COCO  PUNE,1000.0,0.0,SWIPE
04-04-2017,INB  IFT  RENU SINGH  TPARTY TRANSFER,0.0,60000.0,NETBANK
04-04-2017,UPI  PA,24000.0,0.0,UPI
04-04-2017,UPI  PA,11300.0,0.0,UPI
04-05-2017,POS  KEDARI SERVICE  PUNE,1000.0,0.0,SWIPE
04-06-2017,UPI  PA,26350.0,0.0,UPI
04-06-2017,POS  SAI EXPRESSWAY  PUNE,1000.0,0.0,SWIPE
04-06-2017,PETROLEUM,0.0,7.5,OTH
04-07-2017,EXPRESSWAY SERVICE,0.0,7.5,OTH
04-07-2017,SERVICE STATION,0.0,7.5,OTH
04-07-2017,MERCH REFUND DT     BPCL COCO,0.0,7.5,OTH
04-07-2017,POS  GOLDEN PEARL   PUNE,3886.0,0.0,SWIPE
04-08-2017,UPI  PA,4000.0,0.0,UPI
04-08-2017,UPI  PA,2650.0,0.0,UPI
04-08-2017,UPI  PA,6000.0,0.0,UPI
04-10-2017,POS  BPCL COCO  PUNE,1000.0,0.0,SWIPE
04-11-2017,AUTO CENTRE,0.0,7.5,OTH
04-12-2017,PETROLEUM   PUNE,1000.0,0.0,OTH
13-04-2017,POS  BPCL BABJI PETROL  PUNE,1000.0,0.0,SWIPE
14-04-2017,POS  BPCL COCO  PUNE,500.0,0.0,SWIPE
15-04-2017,PUR      TWISTED ENTERAINMENT P,1000.0,0.0,CARDCVV
17-04-2017,ECOM PUR  Paytm Mobile  Noida,2000.0,0.0,PAYTM
17-04-2017,UPI  PA,1750.0,0.0,UPI
17-04-2017,UPI  PA,4800.0,0.0,UPI
18-04-2017,INB  IFT  RENU SINGH  TPARTY TRANSFER,0.0,10000.0,NETBANK
18-04-2017,UPI  PA,6500.0,0.0,UPI
18-04-2017,UPI  PA    AXIeebbfbafda baec,0.0,6500.0,UPI
18-04-2017,UPI  PA,6500.0,0.0,UPI
18-04-2017,UPI  PA    AXIcea fae,0.0,6500.0,UPI
18-04-2017,UPI  PA,6500.0,0.0,UPI
18-04-2017,POS  S K AUTO CARE  PUNE,1000.0,0.0,SWIPE
20-04-2017,INB  IFT  RENU SINGH  TPARTY TRANSFER,0.0,20000.0,NETBANK
20-04-2017,INB  IFT  WHPL  TPARTY TRANSFER,19000.0,0.0,NETBANK
21-04-2017,POS  NRUSINHA  PUNE,1000.0,0.0,SWIPE
22-04-2017,POS  BHARAT PETROLEUM   PUNE,1000.0,0.0,SWIPE
22-04-2017,POS  SAI EXPRESSWAY  PUNE,500.0,0.0,SWIPE
24-04-2017,POS  BPCL COCO  PUNE,200.0,0.0,SWIPE
24-04-2017,ATM CASH  NAVIPETH  PUNE,3000.0,0.0,CASHWD
25-04-2017,POS  KEDARI SERVICE  PUNE,1000.0,0.0,SWIPE
28-04-2017,POS  BHARAT PETROLEUM   PUNE,1000.0,0.0,SWIPE
28-04-2017,POS  REGAL FOOT WEAR  PUNE,2450.0,0.0,SWIPE
29-04-2017,POS  BPCL ROSHNI SERVI  PUNE,1000.0,0.0,SWIPE
05-01-2017,POS  BHARAT PETROLEUM   PUNE,1000.0,0.0,SWIPE
05-02-2017,BRN TO CASH MAHENDRA PANDGALE,15000.0,0.0,CC
05-03-2017,BRN PYMT CARD,5740.79,0.0,CC
05-05-2017,MERCH REFUND DT     S K AUTO CARE,0.0,7.5,OTH
05-05-2017,MERCH REFUND DT     SAI EXPRESSWAY SERVICE,0.0,3.75,OTH
05-05-2017,MERCH REFUND DT     NRUSINHA PETROLEUM,0.0,7.5,OTH
05-05-2017,MERCH REFUND DT     BHARAT PETROLEUM CORPO,0.0,7.5,OTH
05-05-2017,MERCH REFUND DT     BPCL COCO,0.0,1.5,OTH
05-06-2017,POS  ROHIT WINES  PUNE,1095.0,0.0,SWIPE
05-08-2017,POS  KEDARI SERVICE  PUNE,1000.0,0.0,SWIPE
